val_r2_score,test_r2_score,train_r2_score,alpha,ccp_alpha,criterion,init,learning_rate,loss,max_depth,max_features,max_leaf_nodes,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,n_estimators,n_iter_no_change,random_state,subsample,tol,validation_fraction,verbose,warm_start
0.9640870086577538,0.9755875800420912,0.9889819357035552,0.9,0.0,friedman_mse,,1.2502912638404728,squared_error,4,,,0.02,6,2,0.0,15,,,0.8820929006688456,0.0001,0.1,0,False
-1.6378455629896326e+104,-1.68454299499661e+104,-1.641088402602824e+104,0.9,0.0,squared_error,,4.433082485315298,quantile,4,,10,0.0,4,2,0.0,99,,,0.7913689509573473,0.0001,0.1,0,False
0.9885823256266348,0.9803025290560706,0.9814582503494617,0.9,0.0,squared_error,,0.47414546928394136,quantile,4,,,0.0,4,2,0.0,593,,,0.8234928091784104,0.0001,0.1,0,False
0.9862552727616715,0.9936623834612993,0.9839918726781727,0.9,0.0,friedman_mse,,0.3143435315306487,huber,5,,,0.0,2,2,0.0,12,,,0.8228790809187678,0.0001,0.1,0,False
-inf,-inf,-inf,0.9,0.0,friedman_mse,,3.590853894280434,quantile,4,,15,0.0,4,3,0.0,651,,,0.5001058513626344,0.0001,0.1,0,False
0.9837581473576716,0.9929787020433951,0.9786191158629824,0.9,0.0,friedman_mse,,0.03253129148220774,huber,4,,,0.0,37,2,0.0,137,,,0.7558104480061038,0.0001,0.1,0,False
-1.6514475315933332e+169,-1.6458168708380462e+169,-1.61803996878914e+169,0.9,0.0,friedman_mse,,7.396539306236682,squared_error,4,,10,0.0,2,2,0.0,105,,,0.7634260695454363,0.0001,0.1,0,False
0.9860623046174368,0.9903467030115218,0.9916236722859855,0.9,0.0,squared_error,,1.3995255879521473,huber,4,,,0.0,10,2,0.0,109,,,0.7777364881450973,0.0001,0.1,0,False
0.9636017628414193,0.9691374236259328,0.9647106231791959,0.9,0.0,squared_error,,0.01912137161311389,squared_error,4,,5,0.0,2,2,0.0,130,,,0.9156786986009868,0.0001,0.1,0,False
-1.2825685702887076e+249,-1.3112403698709317e+249,-1.2934634834002673e+249,0.9,0.0,friedman_mse,,9.371272158711898,huber,3,,,0.0,14,2,0.0,135,,,0.9921404387370887,0.0001,0.1,0,False
0.9888086009721837,0.9965431984198051,0.9842994174692358,0.9,0.0,squared_error,,0.22334656966286176,huber,4,,,0.0,13,2,0.0,88,,,0.5345493134576798,0.0001,0.1,0,False
0.9688294983485761,0.9767964288499358,0.9746176930178763,0.9,0.0,squared_error,,0.0999106789627246,squared_error,4,,,0.0,4,2,0.0,21,,,0.8714761422514417,0.0001,0.1,0,False
0.9893027653529416,0.9929751399667235,0.9843124136925883,0.9,0.0,squared_error,,0.5108063765495114,quantile,4,,,0.0,49,2,0.0,439,,,0.9340457156163555,0.0001,0.1,0,False
-58160376364521.81,-57584869556578.74,-57029426313131.8,0.9,0.0,squared_error,,2.246494147114951,huber,5,,,0.0,5,2,0.0,72,,,0.6358988867225999,0.0001,0.1,0,False
0.9943860044743082,0.9950530949627087,0.9966351523719106,0.9,0.0,squared_error,,1.168643654056734,huber,4,,5,0.0,6,2,0.0,289,,,0.93775912767152,0.0001,0.1,0,False
-1.2468154875357438e+69,-1.2617747560592117e+69,-1.2526395295372753e+69,0.9,0.0,squared_error,,3.47028824734361,huber,4,,,0.0,8,3,0.0,88,,,0.9903043025417007,0.0001,0.1,0,False
0.6253876267515611,0.6547028224404594,0.6540470364480397,0.9,0.0,squared_error,,0.060530486050514073,quantile,4,,,0.0,14,2,0.0,70,,,0.5132526855090634,0.0001,0.1,0,False
0.44103856427997834,0.4453503644661826,0.4316920952227088,0.9,0.0,squared_error,,0.032004782964485945,huber,2,,,0.0,7,2,0.0,11,,,0.9358124523727966,0.0001,0.1,0,False
0.9598982593610839,0.9650805610627615,0.9881650670068952,0.9,0.0,friedman_mse,,1.3230387683492149,squared_error,3,,15,0.0,2,2,0.0,82,,,0.5602631006667442,0.0001,0.1,0,False
0.9393527051928597,0.9447786120460411,0.9332996864961688,0.9,0.0,squared_error,,0.2760156039226748,quantile,3,,5,0.0,41,2,0.0,45,,,0.5960537013717517,0.0001,0.1,0,False
-1418.068257738939,-327.40432926562727,-76.11902774506628,0.9,0.0,friedman_mse,,1.4081873670793021,squared_error,4,,,0.02,2,2,0.0,896,,,0.5281122123494699,0.0001,0.1,0,False
0.9944643711475569,0.997126629109552,0.998632044443588,0.9,0.0,friedman_mse,,0.1,squared_error,3,,,0.0,1,2,0.0,100,,,1.0,0.0001,0.1,0,False
-1.2533662962955856e+69,-1.2550332387202435e+69,-1.2546476146583586e+69,0.9,0.0,squared_error,,3.47028824734361,huber,4,,,0.0,8,3,0.0,88,,,0.9903043025417007,0.0001,0.1,0,False
0.9296377152630936,0.9324804242667841,0.9136363172337956,0.9,0.0,squared_error,,1.3669264316470546,quantile,4,,15,0.0,23,2,0.0,18,,,0.8932963094075254,0.0001,0.1,0,False
0.9689806335965072,0.9817324002373169,0.982031377684872,0.9,0.0,friedman_mse,,0.0663812096477831,quantile,4,,,0.02,7,2,0.0,400,,,0.9237974798074222,0.0001,0.1,0,False
0.9889031222081103,0.9895925650834225,0.9922040208681399,0.9,0.0,squared_error,,1.3995255879521473,huber,4,,,0.0,10,2,0.0,109,,,0.7777364881450973,0.0001,0.1,0,False
0.9277127057921777,0.9367792113412473,0.9267870786968245,0.9,0.0,squared_error,,1.4209835602528735,quantile,4,,,0.0,46,2,0.0,13,,,0.8939540535083506,0.0001,0.1,0,False
0.9542116039502798,0.9688078614879801,0.9864085553246117,0.9,0.0,friedman_mse,,1.2502912638404728,squared_error,4,,,0.02,6,2,0.0,15,,,0.8820929006688456,0.0001,0.1,0,False
0.9936639927045401,0.995766377055173,0.9946109733528361,0.9,0.0,squared_error,,0.5888016912587156,huber,4,,,0.0,3,2,0.0,35,,,0.5909746353019991,0.0001,0.1,0,False
0.44113284453528034,0.44567690661962434,0.4318834891001584,0.9,0.0,squared_error,,0.032004782964485945,huber,2,,,0.0,7,2,0.0,11,,,0.9358124523727966,0.0001,0.1,0,False
