val_accuracy,test_accuracy,train_accuracy,criterion,learning_rate,loss,max_depth,max_leaf_nodes,min_impurity_decrease,min_samples_leaf,min_samples_split,n_estimators,subsample
0.5792880258899676,0.6038781163434903,0.6133999167707033,squared_error,3.332916412750536,log_loss,4,,0.0,3,2,217,0.7200898363178061
0.7896440129449838,0.7991689750692521,1.0,friedman_mse,0.08006881342031341,exponential,4,10,0.0,2,2,762,0.6125578057326746
0.7378640776699029,0.7077562326869806,0.7245110278818144,friedman_mse,0.07412863028755833,exponential,2,,0.0,4,2,16,0.6667751675771758
0.7443365695792881,0.7313019390581718,0.885143570536829,squared_error,0.325550520616435,exponential,4,15,0.0,23,2,28,0.7641273196937433
0.7702265372168284,0.7936288088642659,1.0,friedman_mse,0.17032449617018738,log_loss,4,,0.0,34,2,786,0.8905796597798941
0.7896440129449838,0.7880886426592798,0.9975031210986267,squared_error,0.546790730873612,exponential,4,5,0.0,27,2,225,0.7765459338812319
0.7508090614886731,0.760387811634349,1.0,friedman_mse,0.9201046719887296,exponential,3,,0.02,31,2,130,0.9373386321199357
0.5792880258899676,0.5401662049861495,0.5780274656679151,friedman_mse,4.048228521543238,exponential,4,,0.0,24,2,11,0.9278276589836076
0.7152103559870551,0.6994459833795014,0.6933000416146483,squared_error,0.45981076904307133,exponential,4,,0.05,8,2,546,0.6720546637811077
0.7669902912621359,0.7493074792243767,0.821057012068248,friedman_mse,0.021818394502836097,exponential,4,,0.0,3,2,123,0.9106340134021363
0.7766990291262136,0.7908587257617729,0.9962546816479401,friedman_mse,0.13186080135270492,log_loss,4,,0.01,10,2,235,0.5716118172781468
0.7928802588996764,0.7880886426592798,0.9995838535164377,squared_error,0.09870856656150771,exponential,,,0.0,5,2,99,0.5685706601846708
0.6504854368932039,0.5831024930747922,0.5867665418227216,squared_error,3.36574877868388,log_loss,4,,0.0,2,2,294,0.883259466372108
0.7540453074433657,0.7451523545706371,0.8123179359134415,squared_error,0.09059748077443124,exponential,4,,0.0,10,2,25,0.9562898893475018
0.49838187702265374,0.5595567867036011,0.5597170203911777,friedman_mse,1.9783002896355526,log_loss,4,,0.0,2,2,802,0.5309870083925583
0.7734627831715211,0.7908587257617729,1.0,squared_error,0.08704659578714097,log_loss,4,,0.0,6,2,617,0.5673067583743813
0.7216828478964401,0.7285318559556787,0.8784852267998335,friedman_mse,0.7022508448226001,log_loss,4,,0.0,37,2,14,0.8629613777514582
0.7734627831715211,0.7617728531855956,0.8764044943820225,squared_error,0.020601891955123613,log_loss,4,,0.0,11,2,283,0.6009507661431064
0.5145631067961165,0.48337950138504154,0.49313358302122345,squared_error,4.113469086897636,log_loss,4,,0.0,3,2,85,0.9819251291896884
0.7702265372168284,0.7520775623268698,0.8630878069080317,friedman_mse,0.08006881342031341,exponential,4,10,0.0,2,2,762,0.6125578057326746
0.7702265372168284,0.7977839335180056,1.0,friedman_mse,0.17032449617018738,log_loss,4,,0.0,34,2,786,0.8905796597798941
0.7702265372168284,0.7548476454293629,0.8689138576779026,squared_error,0.020601891955123613,log_loss,4,,0.0,11,2,283,0.6009507661431064
0.511326860841424,0.4986149584487535,0.5022888056595922,squared_error,4.113469086897636,log_loss,4,,0.0,3,2,85,0.9819251291896884
0.7508090614886731,0.7534626038781164,0.8526841448189763,friedman_mse,0.7022508448226001,log_loss,4,,0.0,37,2,14,0.8629613777514582
0.7637540453074434,0.7576177285318559,0.8139825218476904,squared_error,0.09059748077443124,exponential,4,,0.0,10,2,25,0.9562898893475018
0.7281553398058253,0.6620498614958449,0.6966292134831461,friedman_mse,4.048228521543238,exponential,4,,0.0,24,2,11,0.9278276589836076
0.7669902912621359,0.7867036011080333,0.9950062421972534,friedman_mse,0.13186080135270492,log_loss,4,,0.01,10,2,235,0.5716118172781468
0.7572815533980582,0.778393351800554,1.0,friedman_mse,0.9201046719887296,exponential,3,,0.02,31,2,130,0.9373386321199357
0.7411003236245954,0.7520775623268698,0.8368705784436121,squared_error,0.2386243409501841,exponential,4,,0.0,3,2,15,0.9500745242678219
0.7346278317152104,0.7659279778393352,0.8847274240532668,squared_error,0.325550520616435,exponential,4,15,0.0,23,2,28,0.7641273196937433
0.5210355987055016,0.47506925207756234,0.4848106533499792,friedman_mse,1.9783002896355526,log_loss,4,,0.0,2,2,802,0.5309870083925583
