Motor Speed (RPM),Engine Speed (RPM),Throttle (%),Intake Temperature (C),Engine Coolant Temperature 1 (C),Engine Coolant Temperature 2 (C),Barometric Pressure (kpa),Fuel Trim,Fuel Consumption (g/min),Fuel Consumed (g),Bus Voltage (V),Battery Current (A),Power Generated (W),Inverter Temperature (C),Target Fuel Pressure (bar),Fuel Pressure (bar),Fuel Pump Speed (RPM),Cooling Pump Speed (RPM),alert
0.1999999999998181,0.0,5.0,25.0,44.0,44.0,96.0,0.0,0.0,0.0,48.33,0.12,-6.0,31.0,3.1,0.8,0.0,5340.0,1
-0.09999999999990905,0.0,5.0,25.0,44.0,44.0,96.0,0.0,0.0,0.0,48.33,0.12,-5.0,31.0,3.1,0.8,0.0,5508.0,1
0.09999999999990905,0.0,5.0,25.0,44.0,44.0,96.0,0.0,0.0,0.0,48.33,0.13,-6.0,31.0,3.1,0.8,0.0,5508.0,1
0.0,0.0,5.0,25.0,44.0,44.0,97.0,0.0,0.0,0.0,48.33,0.12,-6.0,31.0,3.1,0.8,0.0,5028.0,1
-0.09999999999990905,0.0,5.0,25.0,44.0,44.0,97.0,0.0,0.0,0.0,48.33,0.08999999999999997,-5.0,31.0,3.1,0.8,0.0,5028.0,1
0.09999999999990905,0.0,5.0,25.0,44.0,44.0,97.0,0.0,0.0,0.0,48.33,0.12,-6.0,31.0,3.1,0.8,0.0,4740.0,1
0.09999999999990905,0.0,5.0,25.0,44.0,44.0,97.0,0.0,0.0,0.0,48.33,0.12,-5.0,31.0,3.1,0.8,0.0,4740.0,1
0.1999999999998181,0.0,5.0,25.0,44.0,44.0,97.0,0.0,0.0,0.0,48.33,0.13,-5.0,31.0,3.1,0.8,0.0,5316.0,1
-0.09999999999990905,0.0,5.0,25.0,44.0,44.0,97.0,0.0,0.0,0.0,48.33,0.09999999999999998,-5.0,31.0,3.1,0.8,0.0,5316.0,1
0.0,0.0,5.0,25.0,44.0,44.0,97.0,0.0,0.0,0.0,48.33,0.12,-6.0,31.0,3.1,0.8,0.0,5196.0,1
0.0,0.0,5.0,25.0,44.0,44.0,97.0,0.0,0.0,0.0,48.33,0.10999999999999999,-6.0,31.0,3.1,0.8,0.0,5196.0,1
-0.1999999999998181,0.0,5.0,25.0,44.0,44.0,96.0,0.0,0.0,0.0,48.33,0.10999999999999999,-6.0,31.0,3.1,0.8,0.0,5280.0,1
-0.09999999999990905,0.0,5.0,25.0,44.0,44.0,96.0,0.0,0.0,0.0,48.33,0.09999999999999998,-5.0,31.0,3.1,0.8,0.0,5280.0,1
-0.09999999999990905,0.0,5.0,25.0,44.0,44.0,96.0,0.0,0.0,0.0,48.33,0.08000000000000007,-5.0,31.0,3.1,0.8,0.0,5100.0,1
-0.09999999999990905,0.0,5.0,25.0,44.0,44.0,96.0,0.0,0.0,0.0,48.33,0.09999999999999998,-5.0,31.0,3.1,0.8,0.0,5100.0,1
0.0,0.0,5.0,25.0,44.0,44.0,97.0,0.0,0.0,0.0,48.33,0.10999999999999999,-6.0,31.0,3.1,0.8,0.0,4800.0,1
0.0,0.0,5.0,25.0,44.0,44.0,97.0,0.0,0.0,0.0,48.33,0.10999999999999999,-5.0,31.0,3.1,0.8,0.0,4800.0,1
-0.09999999999990905,0.0,5.0,25.0,44.0,44.0,97.0,0.0,0.0,0.0,48.33,0.10999999999999999,-5.0,31.0,3.1,0.8,0.0,5232.0,1
0.0,0.0,5.0,25.0,44.0,44.0,97.0,0.0,0.0,0.0,48.33,0.08999999999999997,-5.0,31.0,3.1,0.8,0.0,5232.0,1
0.0,0.0,5.0,25.0,44.0,44.0,97.0,0.0,0.0,0.0,48.33,0.09999999999999998,-5.0,31.0,3.1,0.8,0.0,5052.0,1
0.09999999999990905,0.0,5.0,25.0,44.0,44.0,97.0,0.0,0.0,0.0,48.33,0.10999999999999999,-5.0,31.0,3.1,0.8,0.0,5052.0,1
0.0,0.0,5.0,25.0,44.0,44.0,97.0,0.0,0.0,0.0,48.33,0.09999999999999998,-5.0,31.0,3.1,0.8,0.0,5052.0,1
0.09999999999990905,0.0,5.0,25.0,44.0,44.0,97.0,0.0,0.0,0.0,48.33,0.39,-18.0,31.0,3.1,0.5999999999999999,0.0,5052.0,1
0.3000000000001819,0.0,5.0,25.0,44.0,44.0,97.0,0.0,0.0,0.0,48.27,0.42,-19.0,31.0,3.1,0.40000000000000013,2189.0,5484.0,1
0.0,0.0,5.0,25.0,44.0,44.0,97.0,0.0,0.0,0.0,48.27,0.42,-20.0,31.0,3.1,0.5999999999999999,3183.0,5484.0,1
0.40000000000009095,0.0,5.0,25.0,44.0,44.0,97.0,0.0,0.0,0.0,48.26,0.45,-21.0,31.0,3.1,1.2,3869.000000000001,5484.0,1
0.3000000000001819,0.0,5.0,25.0,44.0,44.0,97.0,1.0,0.0,0.0,48.25,0.47,-22.0,31.0,3.1,1.6,4213.0,5484.0,1
1.400000000000091,0.0,20.0,25.0,44.0,44.0,97.0,1.0,0.0,0.0,48.25,0.53,-34.000000000000114,31.0,3.1,2.8,3804.0,4992.0,1
2583.1,2256.0,20.0,25.0,44.0,44.0,97.0,1.0,10.0,0.0,48.16,31.3,-400.0,31.0,3.1,3.1,3843.0,4992.0,1
