val_r2_score,test_r2_score,train_r2_score,bootstrap,ccp_alpha,criterion,max_depth,max_features,max_leaf_nodes,max_samples,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,n_estimators,n_jobs,oob_score,random_state,verbose,warm_start
0.7333585274331922,0.7611377326759526,0.7471946247605294,False,0.0,squared_error,3,0.4,,,0.0,43,2,0.0,51,,False,,0,False
0.7345640342678894,0.767043923433766,0.7510296483156413,False,0.0,squared_error,2,0.5,,,0.0,1,3,0.0,2953,,False,,0,False
0.16697969110726574,0.18459375057538852,0.1760020087768176,False,0.0,squared_error,3,0.2,,,0.02,49,2,0.0,110,,False,,0,False
0.9832777649958128,0.966439871948702,0.9941046426694219,False,0.0,squared_error,,0.8,,,0.0,1,3,0.0,24,,False,,0,False
0.6327394459914918,0.6432198113227882,0.6335992113061379,True,0.0,absolute_error,3,log2,,,0.0,43,2,0.0,987,,False,,0,False
0.5816356072385662,0.6197453593233586,0.599694652493453,True,0.0,squared_error,2,0.3,,,0.0,20,2,0.0,1175,,False,,0,False
0.9725992447959899,0.9756156709096282,0.9827124398246923,True,0.0,absolute_error,,0.5,,,0.0,3,2,0.0,41,,False,,0,False
0.5314407152559779,0.5349396358208722,0.5059240421428481,False,0.0,absolute_error,4,0.1,,,0.0,2,2,0.0,15,,False,,0,False
0.977992545870725,0.9731240995292542,0.9848996849429966,False,0.0,friedman_mse,,,,,0.0,11,3,0.0,31,,False,,0,False
0.928759574428624,0.9286004069285517,0.9476720000803305,True,0.0,squared_error,2,,,,0.0,14,2,0.0,35,,False,,0,False
0.9739485779939256,0.974835494710985,0.9831814016787369,True,0.0,friedman_mse,4,0.9,,,0.0,10,2,0.0,1408,,False,,0,False
0.6412716466189622,0.6747948811801879,0.6544702292757845,True,0.0,friedman_mse,3,0.2,,,0.0,2,2,0.0,11,,False,,0,False
0.9101398201304663,0.9190269827039975,0.9210802483742241,True,0.0,absolute_error,2,0.8,,,0.0,11,2,0.0,110,,False,,0,False
0.4855068514874824,0.48836745439533125,0.4785714143490297,True,0.0,absolute_error,2,log2,,,0.0,3,2,0.0,132,,False,,0,False
0.3941356788374244,0.42820097155865267,0.4107225012875897,True,0.0,friedman_mse,2,0.1,,,0.0,5,2,0.0,676,,False,,0,False
0.9018411379172269,0.9132733241302369,0.9173578499449027,False,0.0,friedman_mse,3,0.7,,,0.0,6,2,0.0,63,,False,,0,False
0.9741183924812877,0.9733426308642849,0.9826282840473743,False,0.0,friedman_mse,,0.6,,,0.0,17,2,0.0,18,,False,,0,False
0.6853327960960565,0.7216740508904244,0.7047356921324879,True,0.0,friedman_mse,3,0.3,,,0.01,31,2,0.0,271,,False,,0,False
0.9682365589187414,0.9734189264839259,0.9804950162722685,False,0.0,absolute_error,,,,,0.0,42,2,0.0,11,,False,,0,False
0.7406683873261066,0.7724924853469817,0.7582100451331182,True,0.0,squared_error,3,0.4,,,0.0,27,2,0.0,491,,False,,0,False
0.9809640491155656,0.9681349386521048,0.9929185835660456,True,0.0,squared_error,,1.0,,,0.0,1,2,0.0,100,,False,,0,False
